Document ID,Document Title,Family ID,Family Title,Family Summary,Collection Title(s),Collection Description(s),Document Variant,Document Content URL,Accessibility,Pages,Language,Source,Geography ISOs,Geographies,First event in timeline,Last event in timeline,Full timeline of events (types),Full timeline of events (dates),Date Added to System,Last Modified on System,Internal Document ID,Internal Family ID,Internal Corpus ID,Internal Collection ID(s),Document Role,Document Type,Category,Framework,Topic/Response,Hazard,Sector,Keyword,Instrument,Author,Author Type,Document URL,Family URL,first_event_year
2023-budget_dec2,2023 Budget,bipartisan-budget-act-of-2018-h-r-1892_211e,Bipartisan Budget Act of 2018 (H.R.1892),"<p>This Act is an extensive piece of legislation dealing with budget and spending at the federal level. It notably <br><br>An increased tax credit for carbon capture projects is set up in Title II on miscellaneous provisions, SEC. 41119 on enhancement of carbon dioxide sequestration credit and SEC. 45 Q on credit for carbon oxide sequestration. This credit concerns traditional CCS, direct air capture and carbon monoxide capture.&nbsp;</p>
",,,,https://www.whitehouse.gov/wp-content/uploads/2022/03/budget_fy2023.pdf,"This www.whitehouse.gov page can’t be found
No webpage was found for the web address: https://www.whitehouse.gov/wp-content/uploads/2022/03/budget_fy2023.pdf",,English,CCLW,USA,United States,2018-02-09 00:00:00+00:00,01/03/2022,Passed/Approved;Amended,2018-02-09;2022-03-01,30/11/2023,29/10/2024,CCLW.legislative.9721.6502,CCLW.family.9721.0,CCLW.corpus.i00000001.n0000,,Main,Law,Legislative,,Adaptation;Mitigation,,Energy;Industry,Carbon Pricing;Carbon Capture and Storage,Tax incentives|Economic,,,,,2018
law-no-72021-129b,Law No. 7/2021,law-no-7-on-the-harmonisation-of-tax-regulations-0646,Law No. 7 on the Harmonisation of Tax Regulations ,"<p>Law No. 7 on the Harmonisation of Tax Regulations contains provisions on the carbon pricing instruments in Indonesia, including a carbon tax. Article 13 stipulates that Indonesiaâ€™s carbon tax has been introduced to control greenhouse gas (GHG) emissions and to support the achievement of the emissions reduction targets outlined in Indonesiaâ€™s NDC. To support the implementation of the carbon tax, a carbon tax roadmap will be produced, containing an emissions reduction strategy that reiterates Indonesiaâ€™s commitment to achieving net zero GHG emissions by 2060, will identify priority sectors for taxation (such as the forestry sector which accounts for 97% of Indonesiaâ€™s NDC emissions reduction target) and identify sectoral targets. Article 13 further outlines the timescales along which this carbon tax will be implemented and outlines plans for expanding carbon pricing in the future. The Law states that the carbon tax rate will be made higher than or equal to the domestic carbon price.</p>",,,,https://jdih.setkab.go.id/PUUdoc/176559/Salinan_UU_Nomor_7_Tahun_2021.pdf,"Hmmm… can't reach this page
jdih.setkab.go.id’s DNS address could not be found… diagnosing the problem now.",,Indonesian,CCLW,IDN,Indonesia,2021-10-29 00:00:00+00:00,29/10/2021,Entered Into Force,29/10/2021,30/11/2023,29/10/2024,CCLW.legislative.rtl_89.rtl_317,CCLW.family.rtl_89.0,CCLW.corpus.i00000001.n0000,,Main,Law,Legislative,,Mitigation,,Energy;Cross Cutting Area,Carbon Pricing;Tax;Net Zero,Carbon pricing & emissions trading|Economic,,,,,2021
law-no-155-of-july-24-2020-for-the-modification-and-completion-of-the-law-on-electricity-and-natural-gas-no-1232012-and-regarding-the-modification-and-completion-of-other-normative-acts-b4f0,"Law no. 155 of July 24, 2020 for the modification and completion of the Law on electricity and natural gas no. 123/2012 and regarding the modification and completion of other normative acts",law-no-123-of-july-10-2012-of-electricity-and-natural-gas_d3a4,"Law no. 123 of July 10, 2012 of electricity and natural gas","The law established a legal framework for establishing the free functioning of the National Energy Regulatory authority (ANRE, which replaced the Romanian National Energy Conservation Authority) to regulate electricity and heat production and its use to enable optimal use of primary energy sources, ensure availability and affordability, safety, quality and environmental protection based on the National Energy Strategy.It also established a framework for cogeneration, diversification of energy resources, transparency of tariffs prices and taxes, promotion of renewable energy and reduction in consumption.<br><br>The law was amended on May 19, 2020, by Government Emergency Ordinance no. 74/2020 to expand the possibility of contracting power purchase agreements. This Ordinance was motivated by the desire to improve the uptake of renewable energy in the country.<br><br>Law no. 155 of July 27, 2020, amends and supplements Law no. 123/2012 and other normative acts. It notably sets the legal framework for licensing around hydrogen and amend tariffs rules.<br><br>Law no. 290/2020 amends the law to transpose EU Directive 2019/692 (amending Directive 2009/73/EC).",,,,https://cpr-prod-cclw-document-admin-store.s3.eu-west-1.amazonaws.com/Legea_155_2020%20%281%29.pdf,Success - Scanned PDF,17 pages,Romanian,CCLW,ROU,Romania,2012-07-19 00:00:00+00:00,27/07/2020,Passed/Approved;Amended;Amended,2012-07-19;2020-07-27;2020-05-19,30/11/2023,29/10/2024,CCLW.legislative.1582.rtl_65,CCLW.family.1582.0,CCLW.corpus.i00000001.n0000,,Amendment,Law,Legislative,,Mitigation,,Energy,Institutions / Administrative Arrangements;Energy Supply;Energy Demand;Renewables,"Subsidies|Economic;Processes, plans and strategies|Governance",,,,,2012
greenhouse-gas-reduction-and-management-act_2a69,Greenhouse Gas Reduction and Management Act,greenhouse-gas-reduction-and-management-act_1357,Climate Change Response Act,"<p>This Act amends and renames the Greenhouse Gas Reduction and Management Act 2015. This Act establishes Taiwan's goal to achieve net zero emissions by 2050 and sets out requirements to formulate decarbonisation and adaptation strategies. The Act also defines a just transition and requires competent authorities to consult with communities that are impacted by the transition, establish national just transition action programs and allocate funds towards such plans.&nbsp;</p>
<p>This Act prescribes multiple decarbonisation measures, including a cap-and-trade system, carbon levies for domestic emission sources, subsidies and grants to incentivise green technologies, requirements to label carbon footprint on products, and a tax on imports of carbon intensive products designated by regulatory authorities. There are provisions setting out corresponding penalties for non-compliance.&nbsp;</p>
<p>This Act also establishes a GHG Management Fund, which is derived multiple sources, including the carbon levies and the state's budget.&nbsp;</p>
",,,,https://adapt.epa.gov.tw/eng/dispPageBox/files/741.pdf,"Hmmm… can't reach this page
adapt.epa.gov.tw’s DNS address could not be found… diagnosing the problem now. Check if there is a typo in adapt.epa.gov.tw.",,English,CCLW,TWN,Taiwan,2015-07-01 00:00:00+00:00,15/02/2023,Passed/Approved;Amended,2015-07-01;2023-02-15,30/11/2023,29/10/2024,CCLW.legislative.8616.1517,CCLW.family.8616.0,CCLW.corpus.i00000001.n0000,,Previous Version,Act,Legislative,Adaptation;Mitigation,Adaptation;Mitigation,,Agriculture;Environment;LULUCF;Transport,Adaptation;Carbon Pricing;Transport;Institutions / Administrative Arrangements;Energy Supply;Research And Development;REDD+ And LULUCF;Energy Demand,"Tax incentives|Economic;Nature based solutions and ecosystem restoration|Direct Investment;Capacity building|Governance;Processes, plans and strategies|Governance",,,,,2015
decree-no-08-2022-nd-cp_2587,Decree No. 08/2022/ND-CP,law-on-environmental-protection_41ac,Law on Environmental Protection,"<p>The Law specifies that environmental protection should be in harmony with economic development, social protection, biodiversity protection and adapting to climate change. The revised law replaces a previous version published in 2005 and states that protecting the environment is the responsibility of all agencies, organisations, households and individuals; that organisations and individuals that benefit from the environment are responsible for providing financial support for environmental protection activities; and also outlines a polluter-pays principle.It recommends that the development and use of clean and renewable forms of energy be encouraged to reduce GHG emissions and to protect the ozone layer. It also specifies that a road map is to be developed so that Vietnam may take part in global GHG mitigation activities that are appropriate with respect to the country's socio-economic circumstances and the international treaties of which Vietnam is a member.The law requires the development of a National Environmental Protection Plan to assess current environmental status, and environmental and climate change forecasts. Seven decrees are currently being developed by the Ministry of Natural Resources and Environment to guide the implementation of the law.</p>",Vietnam's Laws on Environmental Protection,,,https://monre.gov.vn/VanBan/Lists/VanBanHanhChinh/Attachments/277/08-2022-ND%20quy%20dinh%20chi%20tiet%20mot%20so%20dieu%20cua%20Luat%20Bao%20ve%20moi%20truong%20(10.01.2022).pdf,"Not Found
HTTP Error 404. The requested resource is not found.",,Vietnamese,CCLW,VNM,Vietnam,2014-06-23 00:00:00+00:00,01/01/2022,Passed/Approved;Entered Into Force;Amended;Entered Into Force,2014-06-23;2022-01-01;2020-11-17;2015-01-01,30/11/2023,13/05/2025,CCLW.legislative.1790.6600,CCLW.family.1790.0,CCLW.corpus.i00000001.n0000,CCLW.collection.i00001547.n0000,Supporting Legislation,Law,Legislative,Mitigation;Adaptation,Mitigation,,Environment,Tax Incentives;Trading Scheme,"Standards, obligations and norms|Regulation;Carbon pricing & emissions trading|Economic;Planning|Governance;Processes, plans and strategies|Governance;MRV|Governance",,,,,2014
buildings-energy-act-geg_fc59,Buildings Energy Act (GEG; 2020 version),buildings-energy-act-geg_ec47,Buildings Energy Act (GEG),"<p>This document's full name is&nbsp;the Law on saving energy and using renewable energies for heating and cooling in buildings. It replaces the Energy Conservation Act (Energieeinsparungsgesetz, EnEG), the Energy Saving Ordinance (Energieeinsparverordnung, EnEV) and the Act on the Promotion of Renewable Energies in the Heat Sector (EEWÃ¤rmeG). The new Buildings Energy Act sets out requirements for the energy performance of buildings, the issuing and use of energy performance certificates, and the use of renewable energy in buildings.&nbsp;</p><p><br></p><p>The Act was reformed in 2022, with the amendment entering into force at the beginning of 2023. The amended Act raised standards regarding new buildings and reduced the permissible annual energy demand in new buildings from 75% to 55%.</p>",,,Original Language,https://www.bgbl.de/xaver/bgbl/text.xav?SID=&tf=xaver.component.Text_0&tocf=&qmf=&hlf=xaver.component.Hitlist_0&bk=bgbl&start=%2F%2F*%5B%40node_id%3D%27941169%27%5D&skin=pdf&tlevel=-2&nohist=1&sinst=AB7AE373,Blank page. ,,English;German,CCLW,DEU,Germany,2020-08-13 00:00:00+00:00,20/07/2022,Amended;Passed/Approved,2022-07-20;2020-08-13,30/11/2023,29/10/2024,CCLW.legislative.10751.6023,CCLW.family.10751.0,CCLW.corpus.i00000001.n0000,,Previous Version,Act,Legislative,,Mitigation,,Buildings,,"Standards, obligations and norms|Regulation",,,,,2020
law-no-32-on-the-electric-sector_bc2d,Law no 32 on the electric sector,law-no-32-on-the-electric-sector_c3be,Law no 32 on the electric sector,"<p><br><br><br><br><br><br>The Law no 32/2010 on the electric sector modifies the institutional framework regulating the electricity market. Articles 2 (3) and 3 (1) aim at supporting the production and use of renewable energy, alongside enhanced energy efficiency. Article 28 sets preferable tariffs to small private producers and from industrial actors when the energy surplus can be sent to the grid.<br><br><br><br><br><br><br></p>
",,,,https://tde.gov.sy/sites/default/files/2020-11/%D8%A7%D9%84%D9%82%D8%A7%D9%86%D9%88%D9%86%20%D8%B1%D9%82%D9%85%2032%20%D9%84%D8%B9%D8%A7%D9%85%202010.pdf,"Hmmm… can't reach this page
tde.gov.sy took too long to respond",,,CCLW,SYR,Syria,2010-11-14 00:00:00+00:00,14/11/2010,Passed/Approved,14/11/2010,30/11/2023,29/10/2024,CCLW.legislative.8558.0,CCLW.family.8558.0,CCLW.corpus.i00000001.n0000,,Main,Law,Legislative,,Mitigation,,Energy;Industry,Institutions / Administrative Arrangements;Energy Supply;Energy Demand,Tax incentives|Economic,,,,,2010
the-mother-earth-law-and-integral-development-to-live-well-law-no-300_a11c,"The Mother Earth Law and Integral Development to Live Well, Law No 300",the-mother-earth-law-and-integral-development-to-live-well-law-no-300_42c0,"The Mother Earth Law and Integral Development to Live Well, Law No 300","The Mother Earth Law is a piece of legislation that epitomises Bolivia's dedication to sustainable development, respecting the balance between human life and the natural environment, and prioritising the rights and knowledge of the country's majority indigenous population. The expressed objective of the law is to 'establish the vision and fundamentals of integral development in harmony and balance with Mother Earth to Live Well, guaranteeing the continued capacity of Mother Earth to regenerate natural systems, recuperating and strengthening local and ancestral practices, within the framework of rights, obligations and responsibilities'.  In relation to climate change the law has many provisions that outline the state's vision, citizens' rights, and responsibilities. It embraces the concept of 'climate justice', defined by the ability of all Bolivian citizens to 'Live Well', especially those who are most vulnerable to climate change. It reinforces the point that some states have more of a global responsibility to respond to climate change.  To encourage sustainable development of natural resources, it states that climate change trajectories should be accounted for when planning and zoning responsible land use.  The law focuses on reducing the risks posed by climate change through six lines of actions:The permanent incorporation of prevention of and managed response to natural disasters into the System of Integral PlanningRisk management for the agricultural sector to prevent diminished crop yields and food insecurityThe adoption of risk management of disasters as well as adaption to climate change across state development projects; development of informational networks to issue early warnings in times of natural crisis as well as to assist the agricultural industry and indigenous communities plan according to climate conditionsStrengthening territorial management processes of sub-national governments through the incorporation of risk management and adaption to climate change perspectivesArticulation between public and private scientific research sectors to share knowledge and co-ordinate research regarding vulnerabilities related to climate change The Law defines 'Living Well' in relation to climate change and lays out the state's legal obligations. The state will develop policies, strategies and legal techniques to mitigate the effects of climate change and adapt to them through strengthening institutional capacities for the monitoring of climate with the purpose of long-term planning. The state will also encourage the recuperation of traditional indigenous practices that were historically sustainable and allowed for the natural regeneration of resources.  The law also establishes the Plurinational Authority of Mother Earth, within the Ministry of Environment and Water, as the state entity responsible for much of the development, overseeing and co-ordination of projects, programmes and research as it relates to climate change and the objectives of the Plurinational Plan for Climate Change. It also co-ordinates scientific monitoring of GHG emissions. The entity will operate within the framework of 'climate justice,' following the principles of Bolivia's climate change politics.  The Authority will operate through three mechanisms: (1) Joint Mechanism of Mitigation and Adaptation for the Integral and Sustainable Management of Mother Earth's Forests; (2) Mitigation Mechanism to 'Living Well'; and (3) Adaptation Mechanism to 'Living Well'.  The Authority is also responsible for the management of the Plurinational Fund of Mother Earth. The Fund will be financed with multilateral and bilateral aid, public money from the national government allocated to mitigation or adaptation, funds from private donors, national or international loans, and funds at the disposal of the executive branch.","The Mother Earth Law and Integral Development to Live Well, Framework Law No 300","The Mother Earth Law is a piece of legislation that epitomises Bolivia's dedication to sustainable development, respecting the balance between human life and the natural environment, and prioritising the rights and knowledge of the country's majority indigenous population. The expressed objective of the law is to 'establish the vision and fundamentals of integral development in harmony and balance with Mother Earth to Live Well, guaranteeing the continued capacity of Mother Earth to regenerate natural systems, recuperating and strengthening local and ancestral practices, within the framework of rights, obligations and responsibilities'.
 
 In relation to climate change the law has many provisions that outline the state's vision, citizens' rights, and responsibilities. It embraces the concept of 'climate justice', defined by the ability of all Bolivian citizens to 'Live Well', especially those who are most vulnerable to climate change. It reinforces the point that some states have more of a global responsibility to respond to climate change.
 
 To encourage sustainable development of natural resources, it states that climate change trajectories should be accounted for when planning and zoning responsible land use.
 
 The law focuses on reducing the risks posed by climate change through six lines of actions:
The permanent incorporation of prevention of and managed response to natural disasters into the System of Integral Planning
Risk management for the agricultural sector to prevent diminished crop yields and food insecurity
The adoption of risk management of disasters as well as adaption to climate change across state development projects; development of informational networks to issue early warnings in times of natural crisis as well as to assist the agricultural industry and indigenous communities plan according to climate conditions
Strengthening territorial management processes of sub-national governments through the incorporation of risk management and adaption to climate change perspectives
Articulation between public and private scientific research sectors to share knowledge and co-ordinate research regarding vulnerabilities related to climate change
 
 The Law defines 'Living Well' in relation to climate change and lays out the state's legal obligations. The state will develop policies, strategies and legal techniques to mitigate the effects of climate change and adapt to them through strengthening institutional capacities for the monitoring of climate with the purpose of long-term planning. The state will also encourage the recuperation of traditional indigenous practices that were historically sustainable and allowed for the natural regeneration of resources.
 
 The law also establishes the Plurinational Authority of Mother Earth, within the Ministry of Environment and Water, as the state entity responsible for much of the development, overseeing and co-ordination of projects, programmes and research as it relates to climate change and the objectives of the Plurinational Plan for Climate Change. It also co-ordinates scientific monitoring of GHG emissions. The entity will operate within the framework of 'climate justice,' following the principles of Bolivia's climate change politics.
 
 The Authority will operate through three mechanisms: (1) Joint Mechanism of Mitigation and Adaptation for the Integral and Sustainable Management of Mother Earth's Forests; (2) Mitigation Mechanism to 'Living Well'; and (3) Adaptation Mechanism to 'Living Well'.
 
 The Authority is also responsible for the management of the Plurinational Fund of Mother Earth. The Fund will be financed with multilateral and bilateral aid, public money from the national government allocated to mitigation or adaptation, funds from private donors, national or international loans, and funds at the disposal of the executive branch.",,https://mineria.gob.bo/juridica/20121015-11-39-39.pdf,"This www.mineria.gob.bo page can’t be found
No webpage was found for the web address: https://www.mineria.gob.bo/juridica/20121015-11-39-39.pdf",,Spanish,CCLW,BOL,Bolivia,2012-10-15 00:00:00+00:00,15/10/2012,Passed/Approved,15/10/2012,30/11/2023,14/01/2025,CCLW.legislative.1085.0,CCLW.family.1085.0,CCLW.corpus.i00000001.n0000,CCLW.collection.i00001853.n0000,Main,Law,Legislative,,Adaptation;Disaster Risk Management;Mitigation,,Agriculture;Industry;LULUCF,Adaptation;Institutions / Administrative Arrangements;Transport;Research And Development;REDD+ And LULUCF,,,,,,2012
legislative-decree-656-2020-decree-362-2019-and-agreement-617-2019_2438,"Legislative Decree 656/2020, decree 362/2019 and agreement 617/2019",legislative-decree-656-2020-decree-362-2019-and-agreement-617-2019_277b,"Legislative Decree 656/2020, decree 362/2019 and agreement 617/2019","Concerns the Financial Cooperation Agreement with the Federal Republic of Germany, for the Project called: ""Urban Adaptation to Climate Change in Central America (El Salvador Component)"" according to Legislative Decree No. 362 dated June 27, 2019, published in the Official Gazette No. 134, Volume No. 424 of July 18 of the same year, which has allowed the execution of mitigation works in different human settlements in urban, peri-urban and rural areas.",,,,https://www.asamblea.gob.sv/sites/default/files/documents/correspondencia/72DA8BEA-1B4B-4BD1-948D-B2B8AED2F19D.pdf,Success - Scanned PDF,6 pages,Spanish,CCLW,SLV,El Salvador,2020-06-05 00:00:00+00:00,05/06/2020,Passed/Approved,05/06/2020,30/11/2023,29/10/2024,CCLW.legislative.10735.5958,CCLW.family.10735.0,CCLW.corpus.i00000001.n0000,,Main,Decree,Legislative,,Adaptation,,Economy-wide;Other;Urban,,Provision of climate funds|Direct Investment;International cooperation|Governance,,,,,2020
coast-conservation-act-57-1981_9f77,Coast Conservation Act 57/1981,coast-conservation-act-57-1981-as-amended-by-act-49-2011_1795,Coast Conservation Act 57/1981 as amended by Act 49/2011,"The Coast Conservation Acts 57/1981 and 49/2011 set out measures to ensure a survey of the coastal zone and the preparation of a coastal zone management plan. The act also regulates development activities within the coastal zone and formulates schemes of work for coast conservation.&nbsp;<br><br>The Act No.57/1981 establishes the Coast Conservation Advisory Council (hereinafter referred to as "" the Council ""). The functions of the Council shall be: 1) to advise the Minister on all development activities proposed in the Coastal Zone; 2) to review the Coastal Zone Management Plan prepared in accordance with the provisions of Part II of this Act; 3) to review the environmental impact assessments furnished to the Director in connection with applications for permits under section 14; 4) to inform the Director of the need for schemes of work within the Coastal Zone; 5) to advise the Minister or the Director on any other matter relating to coast conservation.&nbsp;",,,,http://citizenslanka.org/wp-content/uploads/2016/02/Coast-Conservation-Act-No-57-of-1981-E.pdf,"Hmmm… can't reach this page
citizenslanka.org’s DNS address could not be found… diagnosing the problem now. Check if there is a typo in citizenslanka.org.",,English,CCLW,LKA,Sri Lanka,1981-01-01 00:00:00+00:00,30/11/2011,Amended;Passed/Approved,2011-11-30;1981-01-01,30/11/2023,24/04/2025,CCLW.legislative.9653.4072,CCLW.family.9653.0,CCLW.corpus.i00000001.n0000,,Main,Act,Legislative,,Adaptation,,Coastal zones,Coastal Erosion;Permit,Zoning & Spatial Planning|Regulation;Capacity building|Governance;Institutional mandates|Governance,,,,,1981
notice-on-the-compensatory-afforestation-fund-act-2016_86ba,"Notice on the Compensatory Afforestation Fund Act, 2016",compensatory-afforestation-fund-act-act-no-38-of-2016_1599,Compensatory Afforestation Fund Act (Act no 38 of 2016),"This Act sets the legal framework around funds providing for compensatory afforestation. The rationale behind this Act is notably articulated around the concept of net present value that encompasses services such as flood moderation and carbon sequestration.<br><br>The document further creates the National Compensatory Afforestation Fund Management and Planning Authority (CAMPA) and sets its composition and powers.&nbsp;<br><br>In May 2020, the government announced that it would allocate Rs 6,000 crore to create jobs among indigenous tribes, in order to enhance afforestation efforts and protect ecosystems.",,,,http://egazette.nic.in/WriteReadData/2018/188570.pdf,"Hmmm… can't reach this page
egazette.nic.in’s DNS address could not be found… diagnosing the problem now.",,English,CCLW,IND,India,2016-07-01 00:00:00+00:00,12/05/2020,Amended;Passed/Approved;Entered Into Force,2020-05-12;2016-07-01;2018-09-30,30/11/2023,29/10/2024,CCLW.legislative.9489.3801,CCLW.family.9489.0,CCLW.corpus.i00000001.n0000,,Supporting Documentation,Act,Legislative,,Disaster Risk Management;Mitigation,Flood,LULUCF,Stimulus Plan;COVID-19;Reforestation;Biodiversity,"Provision of climate funds|Direct Investment;Nature based solutions and ecosystem restoration|Direct Investment;Institutional mandates|Governance;Processes, plans and strategies|Governance",,,,,2016
legislation-collection-climate-bank-package-and-sustainable-housing_2ced,Legislation collection: Climate bank package and sustainable housing,package-on-climate-bank-and-sustainable-housing_323f,Package on Climate Bank and Sustainable Housing,"The package on climate bank and sustainable housing of December 23th, 2016, is a broad set of laws aiming at enhancing the sustainable use of energy in the housing sector, and at instituting a climate subsidy scheme. The package consists of four new laws, and two amendments to previous laws. National regulations (RÃ¨glement grand-ducal) further details the scheme conditions set out in each law. <strong>The first law</strong> institutes a subsidy scheme to promote sustainability, rational energy use and the use of renewables in the housing sector, and modifies the <a href=""http://legilux.public.lu/eli/etat/leg/loi/2004/12/23/n1/jo"">law of December 23rd, 2004</a>, <a href=""http://legilux.public.lu/eli/etat/leg/loi/2012/12/26/n2/jo"">amended in 2012</a>, on a trading quotas scheme. It specifies the conditions to benefit the scheme, which includes specific grants for newly built personal homes and collective buildings, with regard to retrofitting, and lists the eligible installations: PV solar, thermic solar, heat pump, wood boiler, heat network and connection to a heat network. The scheme also promotes personal energy consulting in the case of retrofitting. <strong>The second law</strong> introduces a system of certification to assess the sustainability of houses and buildings, and modifies the law of February 25th, 1979 on housing subsidies. A national regulation specifies extensively the criteria of the new sustainability certificate. The certificate, which is also promoted by a subsidy, shall be accessible to any potential buyer. <strong>The third law</strong> sets rules with regard to the collection, seizure and control of housing aid cases and applicability is also determined by a national regulation. <strong>The fourth law</strong> institutes the aid framework of climate loans. These loans are an additional feature of the subsidy scheme aimed at promoting sustainable energy use in the housing sector. They include a zero-rate loan scheme to finance the acquisition of energy and retrofit systems, and apply to certain economic categories of households only. Previous regulations revised by the Package include the <a href=""http://legilux.public.lu/eli/etat/leg/rgd/2007/11/30/n7/jo"">2007 national regulation</a> and the <a href=""http://legilux.public.lu/eli/etat/leg/rmin/2013/01/16/n1/jo"">2013 ministerial regulatio</a>n on energetic performance.",,,,http://data.legilux.public.lu/file/eli-etat-leg-memorial-2016-299-fr-pdf.pdf,"We can't open this file
Something went wrong.",,French,CCLW,LUX,Luxembourg,2016-12-23 00:00:00+00:00,23/12/2016,Passed/Approved,23/12/2016,30/11/2023,29/10/2024,CCLW.legislative.8536.3212,CCLW.family.8536.0,CCLW.corpus.i00000001.n0000,,Main,Law,Legislative,,Mitigation,,Buildings;Energy,Institutions / Administrative Arrangements;Energy Supply;Energy Demand,"Standards, obligations and norms|Regulation;Processes, plans and strategies|Governance",,,,,2016
resolution-approving-the-establishment-of-the-citizens-assembly_f7ae,Resolution approving the establishment of the Citizens' Assembly,resolution-approving-the-establishment-of-the-citizens-assembly_3b3b,Resolution approving the establishment of the Citizens' Assembly,"This resolution of DÃ¡il Ã‰ireann approves the establishment of the Citizensâ€™ Assembly. The Assembly is notably established to consider how the State can make Ireland a leader in tackling climate change, in order to&nbsp;make such recommendations as it sees fit and report to the Houses of the Oireachtas.<br><br><br><strong><br></strong><br>",,,,https://2016-2018.citizensassembly.ie/en/How-the-State-can-make-Ireland-a-leader-in-tackling-climate-change/Final-Report-on-how-the-State-can-make-Ireland-a-leader-in-tackling-climate-change/Climate-Change-Report-Final.pdf,"Hmmm… can't reach this page
2016-2018.citizensassembly.ie took too long to respond",,English,CCLW,IRL,Ireland,2016-07-01 00:00:00+00:00,01/07/2016,Passed/Approved,01/07/2016,30/11/2023,29/10/2024,CCLW.legislative.9414.3526,CCLW.family.9414.0,CCLW.corpus.i00000001.n0000,,Main,Resolution,Legislative,,Adaptation;Mitigation,,Economy-wide,Citizens' Assembly,"Institutional mandates|Governance;Processes, plans and strategies|Governance",,,,,2016
amendment-to-the-act-on-personal-income-tax-and-the-act-on-corporate-income-tax_712b,Amendment to the Act on Personal Income Tax and the Act on Corporate Income Tax,act-amending-the-personal-income-tax-act-and-the-corporate-income-tax-act_bd30,Act amending the Personal Income Tax Act and the Corporate Income Tax Act,"This document amends the Personal Income Tax Act and the Corporate Income Tax Act in order to introduce an income tax exemption for subsidies on low-emission vehicles.<br><br>The Act of 26 July 1991 on personal income tax is notably amended so that in art. 21 in paragraph 1 after item 129a, item 129b is added: ""129b) benefits, in particular subsidies and amounts of canceled loans, received from the Low-Emission Transport Fund;"".<br><br>The Act of February 15, 1992 on corporate income tax' Art. 17.1.60 is added: ""benefits, in particular subsidies and amounts of canceled loans, received from the Low-Emission Transport Fund.""",,,,http://prawo.sejm.gov.pl/isap.nsf/download.xsp/WDU20200000183/T/D20200183L.pdf,"Hmmm… can't reach this page
prawo.sejm.gov.pl’s DNS address could not be found… diagnosing the problem now.",,Polish,CCLW,POL,Poland,2019-12-20 00:00:00+00:00,20/02/2020,Entered Into Force;Passed/Approved,2020-02-20;2019-12-20,30/11/2023,28/04/2025,CCLW.legislative.9392.3477,CCLW.family.9392.0,CCLW.corpus.i00000001.n0000,,Main,Act,Legislative,,Mitigation,,Transport,Transport,Subsidies|Economic;Tax incentives|Economic,,,,,2019
act-of-june-6-2018-amending-the-act-on-biocomponents-and-liquid-biofuels-and-some-other-acts_96ca,"Act of June 6, 2018 amending the Act on biocomponents and liquid biofuels and some other acts",act-on-biocomponents-and-liquid-biofuels-dz-u-2006-nr-169-poz-1199_6af3,Act on Biocomponents and Liquid Biofuels (Dz.U. 2006 nr 169 poz. 1199),"This Act (last amended in January 2015) establishes that the producers, importers and suppliers of fuels are obliged to meet an annual quota of biofuels in the total amount of liquid fuels produced, supplied and imported. The obligation levels are determined every three years for a period of six years by the Council of Ministers.<br><br>&nbsp;The following biocomponents are eligible: bioethanol, biomethanol, biobutanol, ester dimethylether, pure vegetable oil, bio liquid hydrocarbons, bio propane-butane, liquefied biomethane, compressed biomethane and biohydrogen, which are produced from biomass for use in the manufacture of liquid fuels or biofuels (art. 2 par. 1 no. 3). The biocomponents and bioliguids can only count towards the quota and be eligible for financial support, if they meet the sustainability criteria set out within the recognized certification system (art. 28b-28c) approved by the European Commission, including GHG emission reduction, protection of land with high biodiversity value, peatland protection and sustainable farming criteria (art. 28a).<br><br>The Act is detailed by Regulation of 23 July 2013 on the National Indicative Targets for 2013-2018). The Regulation established that the obliged companies have to ensure that biofuels make up the following quotas of the company's total annual sale or consumption of fuel: 7.10% between 2013 and 2016, 7.80% in 2017 and 8.50% in 2018.<br><br>This document was amended by the Act no. 1356/2019 ""amending the act on biocomponents And liquid biofuels and some other Acts"", notably to establish the Low-Emission Transport Fund.",,,,http://prawo.sejm.gov.pl/isap.nsf/DocDetails.xsp?id=WDU20180001356,"Hmmm… can't reach this page
Check if there is a typo in prawo.sejm.gov.pl.",,Polish,CCLW,POL,Poland,2006-08-25 00:00:00+00:00,06/06/2018,Passed/Approved;Passed/Approved;Amended;Amended,2006-08-25;2013-07-23;2015-01-01;2018-06-06,30/11/2023,29/10/2024,CCLW.legislative.2009.3480,CCLW.family.2009.0,CCLW.corpus.i00000001.n0000,,Amendment,Act,Legislative,,Mitigation,,Agriculture;Energy;Environment;Transport,Energy Supply,Institutional mandates|Governance,,,,,2006
